index	label
1	7Networks_LH_Default_IPL_1
2	7Networks_LH_Default_IPL_2
3	7Networks_LH_Default_IPL_3
4	7Networks_LH_Default_IPL_4
5	7Networks_LH_Default_PCC_1
6	7Networks_LH_Default_PCC_2
7	7Networks_LH_Default_PFCd_1
8	7Networks_LH_Default_PFCd_2
9	7Networks_LH_Default_PFCd_3
10	7Networks_LH_Default_PFCd_4
11	7Networks_LH_Default_PFCd_5
12	7Networks_LH_Default_PFCl_1
13	7Networks_LH_Default_PFCl_2
14	7Networks_LH_Default_PFCm_1
15	7Networks_LH_Default_PFCm_2
16	7Networks_LH_Default_PFCm_3
17	7Networks_LH_Default_PFCm_4
18	7Networks_LH_Default_PFCv_1
19	7Networks_LH_Default_PFCv_2
20	7Networks_LH_Default_PFCv_3
21	7Networks_LH_Default_PFCv_4
22	7Networks_LH_Default_RSC
23	7Networks_LH_Default_TempPole
24	7Networks_LH_Default_Temp_1
25	7Networks_LH_Default_Temp_2
26	7Networks_LH_Default_Temp_3
27	7Networks_LH_Default_Temp_4
28	7Networks_LH_Default_Temp_5
29	7Networks_LH_Default_pCun_1
30	7Networks_LH_Default_pCun_2
31	7Networks_LH_Cont_FPole
32	7Networks_LH_Cont_FrMed
33	7Networks_LH_Cont_IPL_1
34	7Networks_LH_Cont_IPS_1
35	7Networks_LH_Cont_IPS_2
36	7Networks_LH_Cont_PFCl_1
37	7Networks_LH_Cont_PFCl_2
38	7Networks_LH_Cont_PFCl_3
39	7Networks_LH_Cont_Temp
40	7Networks_LH_Cont_pCun_1
41	7Networks_LH_Limbic_FPole
42	7Networks_LH_Limbic_OFC_1
43	7Networks_LH_Limbic_OFC_2
44	7Networks_LH_Limbic_Temp
45	7Networks_LH_Limbic_TempPole
46	7Networks_LH_SalVentAttn_FrMed_1
47	7Networks_LH_SalVentAttn_FrMed_2
48	7Networks_LH_SalVentAttn_FrMed_3
49	7Networks_LH_SalVentAttn_IPL
50	7Networks_LH_SalVentAttn_Ins_1
51	7Networks_LH_SalVentAttn_Ins_2
52	7Networks_LH_SalVentAttn_PrCv
53	7Networks_LH_SalVentAttn_SPL
54	7Networks_LH_SalVentAttn_ST
55	7Networks_LH_SalVentAttn_Temp_1
56	7Networks_LH_DorsAttn_IPS_1
57	7Networks_LH_DorsAttn_PFCd
58	7Networks_LH_DorsAttn_PostC_1
59	7Networks_LH_DorsAttn_PostC_2
60	7Networks_LH_DorsAttn_PrCd_1
61	7Networks_LH_DorsAttn_PrCd_2
62	7Networks_LH_DorsAttn_PrCv
63	7Networks_LH_DorsAttn_SPL_1
64	7Networks_LH_DorsAttn_SPL_2
65	7Networks_LH_DorsAttn_SPL_3
66	7Networks_LH_DorsAttn_SPL_4
67	7Networks_LH_DorsAttn_TempOcc_1
68	7Networks_LH_DorsAttn_TempOcc_2
69	7Networks_LH_DorsAttn_TempOcc_3
70	7Networks_LH_SomMot_1
71	7Networks_LH_SomMot_10
72	7Networks_LH_SomMot_11
73	7Networks_LH_SomMot_12
74	7Networks_LH_SomMot_13
75	7Networks_LH_SomMot_14
76	7Networks_LH_SomMot_2
77	7Networks_LH_SomMot_3
78	7Networks_LH_SomMot_4
79	7Networks_LH_SomMot_5
80	7Networks_LH_SomMot_6
81	7Networks_LH_SomMot_7
82	7Networks_LH_SomMot_8
83	7Networks_LH_SomMot_9
84	7Networks_LH_SomMot_Ins_1
85	7Networks_LH_SomMot_Ins_2
86	7Networks_LH_SomMot_Ins_3
87	7Networks_LH_SomMot_ST
88	7Networks_LH_Vis_ExStrInf_1
89	7Networks_LH_Vis_ExStrInf_2
90	7Networks_LH_Vis_ExStrSup
91	7Networks_LH_Vis_ExStr_1
92	7Networks_LH_Vis_ExStr_2
93	7Networks_LH_Vis_ExStr_3
94	7Networks_LH_Vis_ExStr_4
95	7Networks_LH_Vis_ExStr_5
96	7Networks_LH_Vis_ExStr_6
97	7Networks_LH_Vis_PHC
98	7Networks_LH_Vis_Striate_1
99	7Networks_LH_Vis_Striate_2
100	7Networks_LH_Vis_TempOcc
101	7Networks_RH_Default_IPL_1
102	7Networks_RH_Default_IPL_2
103	7Networks_RH_Default_IPL_3
104	7Networks_RH_Cont_IPL_2
105	7Networks_RH_Default_PCC_1
106	7Networks_RH_Cont_PCC
107	7Networks_RH_Default_PFCd_1
108	7Networks_RH_Default_PFCd_2
109	7Networks_RH_Default_PFCd_3
110	7Networks_RH_Default_PFCd_4
111	7Networks_RH_Default_PFCd_5
112	7Networks_RH_Cont_PFCl_4
113	7Networks_RH_Cont_PFCl_5
114	7Networks_RH_Default_PFCm_1
115	7Networks_RH_Default_PFCm_2
116	7Networks_RH_Default_PFCm_3
117	7Networks_RH_Default_PFCm_4
118	7Networks_RH_Default_PFCv_1
119	7Networks_RH_SalVentAttn_PFCv
120	7Networks_RH_Cont_PFCv_1
121	7Networks_RH_Cont_PFCv_2
122	7Networks_RH_Default_RSC
123	7Networks_RH_Default_TempPole
124	7Networks_RH_Default_Temp_1
125	7Networks_RH_Default_Temp_2
126	7Networks_RH_Default_Temp_3
127	7Networks_RH_SalVentAttn_Temp_2
128	7Networks_RH_SomMot_Temp
129	7Networks_RH_Default_pCun_1
130	7Networks_RH_Cont_pCun_1
131	7Networks_RH_Cont_FPole
132	7Networks_RH_Cont_FrMed
133	7Networks_RH_Cont_IPL_1
134	7Networks_RH_Cont_IPS_1
135	7Networks_RH_DorsAttn_IPS_2
136	7Networks_RH_Cont_PFCl_1
137	7Networks_RH_Cont_PFCl_2
138	7Networks_RH_Cont_PFCl_3
139	7Networks_RH_Cont_Temp
140	7Networks_RH_DorsAttn_pCun
141	7Networks_RH_Limbic_FPole
142	7Networks_RH_Limbic_OFC_1
143	7Networks_RH_Limbic_OFC_2
144	7Networks_RH_Limbic_Temp
145	7Networks_RH_Limbic_TempPole
146	7Networks_RH_SalVentAttn_FrMed_1
147	7Networks_RH_SalVentAttn_FrMed_2
148	7Networks_RH_SalVentAttn_FrMed_3
149	7Networks_RH_SalVentAttn_IPL
150	7Networks_RH_SalVentAttn_Ins_1
151	7Networks_RH_SalVentAttn_Ins_2
152	7Networks_RH_SalVentAttn_PrCv
153	7Networks_RH_SalVentAttn_SPL
154	7Networks_RH_SalVentAttn_ST
155	7Networks_RH_SalVentAttn_Temp_1
156	7Networks_RH_DorsAttn_IPS_1
157	7Networks_RH_DorsAttn_PFCd
158	7Networks_RH_DorsAttn_PostC_1
159	7Networks_RH_DorsAttn_PostC_2
160	7Networks_RH_DorsAttn_PrCd_1
161	7Networks_RH_DorsAttn_PrCd_2
162	7Networks_RH_DorsAttn_PrCv
163	7Networks_RH_DorsAttn_SPL_1
164	7Networks_RH_DorsAttn_SPL_2
165	7Networks_RH_DorsAttn_SPL_3
166	7Networks_RH_DorsAttn_SPL_4
167	7Networks_RH_DorsAttn_TempOcc_1
168	7Networks_RH_DorsAttn_TempOcc_2
169	7Networks_RH_DorsAttn_TempOcc_3
170	7Networks_RH_SomMot_1
171	7Networks_RH_SomMot_10
172	7Networks_RH_SomMot_11
173	7Networks_RH_SomMot_12
174	7Networks_RH_SomMot_13
175	7Networks_RH_SomMot_14
176	7Networks_RH_SomMot_2
177	7Networks_RH_SomMot_3
178	7Networks_RH_SomMot_4
179	7Networks_RH_SomMot_5
180	7Networks_RH_SomMot_6
181	7Networks_RH_SomMot_7
182	7Networks_RH_SomMot_8
183	7Networks_RH_SomMot_9
184	7Networks_RH_SomMot_Ins_1
185	7Networks_RH_SomMot_Ins_2
186	7Networks_RH_SomMot_Ins_3
