value,name,hemisphere,source
1,L_Primary_Visual_Cortex,L,glasser_mmp
2,L_Medial_Superior_Temporal_Area,L,glasser_mmp
3,L_Sixth_Visual_Area,L,glasser_mmp
4,L_Second_Visual_Area,L,glasser_mmp
5,L_Third_Visual_Area,L,glasser_mmp
6,L_Fourth_Visual_Area,L,glasser_mmp
7,L_Eighth_Visual_Area,L,glasser_mmp
8,L_Primary_Motor_Cortex,L,glasser_mmp
9,L_Primary_Sensory_Cortex,L,glasser_mmp
10,L_Frontal_Eye_Fields,L,glasser_mmp
11,L_Premotor_Eye_Fields,L,glasser_mmp
12,L_Area_55b,L,glasser_mmp
13,L_Area_V3A,L,glasser_mmp
14,L_RetroSplenial_Complex,L,glasser_mmp
15,L_Parieto-Occipital_Sulcus_Area_2,L,glasser_mmp
16,L_Seventh_Visual_Area,L,glasser_mmp
17,L_IntraParietal_Sulcus_Area_1,L,glasser_mmp
18,L_Fusiform_Face_Complex,L,glasser_mmp
19,L_Area_V3B,L,glasser_mmp
20,L_Area_Lateral_Occipital_1,L,glasser_mmp
21,L_Area_Lateral_Occipital_2,L,glasser_mmp
22,L_Posterior_InferoTemporal,L,glasser_mmp
23,L_Middle_Temporal_Area,L,glasser_mmp
24,L_Primary_Auditory_Cortex,L,glasser_mmp
25,L_PeriSylvian_Language_Area,L,glasser_mmp
26,L_Superior_Frontal_Language_Area,L,glasser_mmp
27,L_PreCuneus_Visual_Area,L,glasser_mmp
28,L_Superior_Temporal_Visual_Area,L,glasser_mmp
29,L_Medial_Area_7P,L,glasser_mmp
30,L_Area_7m,L,glasser_mmp
31,L_Parieto-Occipital_Sulcus_Area_1,L,glasser_mmp
32,L_Area_23d,L,glasser_mmp
33,L_Area_ventral_23_a+b,L,glasser_mmp
34,L_Area_dorsal_23_a+b,L,glasser_mmp
35,L_Area_31p_ventral,L,glasser_mmp
36,L_Area_5m,L,glasser_mmp
37,L_Area_5m_ventral,L,glasser_mmp
38,L_Area_23c,L,glasser_mmp
39,L_Area_5L,L,glasser_mmp
40,L_Dorsal_Area_24d,L,glasser_mmp
41,L_Ventral_Area_24d,L,glasser_mmp
42,L_Lateral_Area_7A,L,glasser_mmp
43,L_Supplementary_And_Cingulate_Eye,L,glasser_mmp
44,L_Area_6m_anterior,L,glasser_mmp
45,L_Medial_Area_7A,L,glasser_mmp
46,L_Lateral_Area_7P,L,glasser_mmp
47,L_Area_7PC,L,glasser_mmp
48,L_Area_Lateral_IntraParietal_ventral,L,glasser_mmp
49,L_Ventral_IntraParietal_Complex,L,glasser_mmp
50,L_Medial_IntraParietal_Area,L,glasser_mmp
51,L_Area_1,L,glasser_mmp
52,L_Area_2,L,glasser_mmp
53,L_Area_3a,L,glasser_mmp
54,L_Dorsal_area_6,L,glasser_mmp
55,L_Area_6mp,L,glasser_mmp
56,L_Ventral_Area_6,L,glasser_mmp
57,L_Area_Posterior_24_prime,L,glasser_mmp
58,L_Area_33_prime,L,glasser_mmp
59,L_Anterior_24_prime,L,glasser_mmp
60,L_Area_p32_prime,L,glasser_mmp
61,L_Area_a24,L,glasser_mmp
62,L_Area_dorsal_32,L,glasser_mmp
63,L_Area_8BM,L,glasser_mmp
64,L_Area_p32,L,glasser_mmp
65,L_Area_10r,L,glasser_mmp
66,L_Area_47m,L,glasser_mmp
67,L_Area_8Av,L,glasser_mmp
68,L_Area_8Ad,L,glasser_mmp
69,L_Area_9_Middle,L,glasser_mmp
70,L_Area_8B_Lateral,L,glasser_mmp
71,L_Area_9_Posterior,L,glasser_mmp
72,L_Area_10d,L,glasser_mmp
73,L_Area_8C,L,glasser_mmp
74,L_Area_44,L,glasser_mmp
75,L_Area_45,L,glasser_mmp
76,L_Area_47l_(47_lateral),L,glasser_mmp
77,L_Area_anterior_47r,L,glasser_mmp
78,L_Rostral_Area_6,L,glasser_mmp
79,L_Area_IFJa,L,glasser_mmp
80,L_Area_IFJp,L,glasser_mmp
81,L_Area_IFSp,L,glasser_mmp
82,L_Area__IFSa,L,glasser_mmp
