INFO: Starting fine-tuning sweep for umap (60 combinations)
INFO: Evaluating combination 1/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 5, 'min_dist': 0.0}
INFO: Evaluating combination 2/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 5, 'min_dist': 0.01}
INFO: Evaluating combination 3/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 5, 'min_dist': 0.05}
INFO: Evaluating combination 4/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 5, 'min_dist': 0.1}
INFO: Evaluating combination 5/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 5, 'min_dist': 0.5}
INFO: Evaluating combination 6/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 5, 'min_dist': 1.0}
INFO: Evaluating combination 7/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.0}
INFO: Evaluating combination 8/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.01}
INFO: Evaluating combination 9/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.05}
INFO: Evaluating combination 10/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1}
INFO: Evaluating combination 11/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.5}
INFO: Evaluating combination 12/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 1.0}
INFO: Evaluating combination 13/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 30, 'min_dist': 0.0}
INFO: Evaluating combination 14/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 30, 'min_dist': 0.01}
INFO: Evaluating combination 15/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 30, 'min_dist': 0.05}
INFO: Evaluating combination 16/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 30, 'min_dist': 0.1}
INFO: Evaluating combination 17/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 30, 'min_dist': 0.5}
INFO: Evaluating combination 18/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 30, 'min_dist': 1.0}
INFO: Evaluating combination 19/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 50, 'min_dist': 0.0}
INFO: Evaluating combination 20/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 50, 'min_dist': 0.01}
INFO: Evaluating combination 21/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 50, 'min_dist': 0.05}
INFO: Evaluating combination 22/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 50, 'min_dist': 0.1}
INFO: Evaluating combination 23/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 50, 'min_dist': 0.5}
INFO: Evaluating combination 24/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 50, 'min_dist': 1.0}
INFO: Evaluating combination 25/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 100, 'min_dist': 0.0}
INFO: Evaluating combination 26/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 100, 'min_dist': 0.01}
INFO: Evaluating combination 27/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 100, 'min_dist': 0.05}
INFO: Evaluating combination 28/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 100, 'min_dist': 0.1}
INFO: Evaluating combination 29/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 100, 'min_dist': 0.5}
INFO: Evaluating combination 30/60: {'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 100, 'min_dist': 1.0}
INFO: Evaluating combination 31/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 5, 'min_dist': 0.0}
INFO: Evaluating combination 32/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 5, 'min_dist': 0.01}
INFO: Evaluating combination 33/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 5, 'min_dist': 0.05}
INFO: Evaluating combination 34/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 5, 'min_dist': 0.1}
INFO: Evaluating combination 35/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 5, 'min_dist': 0.5}
INFO: Evaluating combination 36/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 5, 'min_dist': 1.0}
INFO: Evaluating combination 37/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 15, 'min_dist': 0.0}
INFO: Evaluating combination 38/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 15, 'min_dist': 0.01}
INFO: Evaluating combination 39/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 15, 'min_dist': 0.05}
INFO: Evaluating combination 40/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 15, 'min_dist': 0.1}
INFO: Evaluating combination 41/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 15, 'min_dist': 0.5}
INFO: Evaluating combination 42/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 15, 'min_dist': 1.0}
INFO: Evaluating combination 43/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 30, 'min_dist': 0.0}
INFO: Evaluating combination 44/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 30, 'min_dist': 0.01}
INFO: Evaluating combination 45/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 30, 'min_dist': 0.05}
INFO: Evaluating combination 46/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 30, 'min_dist': 0.1}
INFO: Evaluating combination 47/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 30, 'min_dist': 0.5}
INFO: Evaluating combination 48/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 30, 'min_dist': 1.0}
INFO: Evaluating combination 49/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 50, 'min_dist': 0.0}
INFO: Evaluating combination 50/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 50, 'min_dist': 0.01}
INFO: Evaluating combination 51/60: {'metric': 'euclidean', 'n_components': 3, 'n_neighbors': 50, 'min_dist': 0.05}
