INFO: Starting fine-tuning sweep for tsne (15 combinations)
INFO: Evaluating combination 1/15: {'perplexity': 5, 'metric': 'euclidean'}
INFO: Evaluating combination 2/15: {'perplexity': 5, 'metric': 'jaccard'}
INFO: Evaluating combination 3/15: {'perplexity': 5, 'metric': 'dice'}
INFO: Evaluating combination 4/15: {'perplexity': 15, 'metric': 'euclidean'}
INFO: Evaluating combination 5/15: {'perplexity': 15, 'metric': 'jaccard'}
INFO: Evaluating combination 6/15: {'perplexity': 15, 'metric': 'dice'}
INFO: Evaluating combination 7/15: {'perplexity': 30, 'metric': 'euclidean'}
INFO: Evaluating combination 8/15: {'perplexity': 30, 'metric': 'jaccard'}
INFO: Evaluating combination 9/15: {'perplexity': 30, 'metric': 'dice'}
INFO: Evaluating combination 10/15: {'perplexity': 50, 'metric': 'euclidean'}
INFO: Evaluating combination 11/15: {'perplexity': 50, 'metric': 'jaccard'}
INFO: Evaluating combination 12/15: {'perplexity': 50, 'metric': 'dice'}
INFO: Evaluating combination 13/15: {'perplexity': 75, 'metric': 'euclidean'}
INFO: Evaluating combination 14/15: {'perplexity': 75, 'metric': 'jaccard'}
INFO: Evaluating combination 15/15: {'perplexity': 75, 'metric': 'dice'}
INFO: tuning results written to results/lesion/dim_reduction/tsne/tuning/28-07_s1.1 (15 combinations evaluated)
INFO: done - tuning results written to results/lesion/dim_reduction/tsne/tuning/28-07_s1.1, log written to logs/dim_reduction/clinical_connectome/dim_reduction_summary__28-07-26__23-31.log
