INFO: Starting clustering fine-tuning sweep for kmeans (7 combinations)
INFO: Evaluating combination 1/7: {'n_clusters': 2}
INFO: Evaluating combination 2/7: {'n_clusters': 3}
INFO: Evaluating combination 3/7: {'n_clusters': 4}
INFO: Evaluating combination 4/7: {'n_clusters': 5}
INFO: Evaluating combination 5/7: {'n_clusters': 6}
INFO: Evaluating combination 6/7: {'n_clusters': 8}
INFO: Evaluating combination 7/7: {'n_clusters': 10}
INFO: [kmeans] tuning results written to results/lesion/dim_reduction_clustering/tsne/kmeans/tuning/29-07_s1.1_volOFF_p30 (7 combination(s) evaluated)
INFO: Starting clustering fine-tuning sweep for agglomerative (28 combinations)
INFO: Evaluating combination 1/28: {'n_clusters': 2, 'linkage': 'ward'}
INFO: Evaluating combination 2/28: {'n_clusters': 2, 'linkage': 'complete'}
INFO: Evaluating combination 3/28: {'n_clusters': 2, 'linkage': 'average'}
INFO: Evaluating combination 4/28: {'n_clusters': 2, 'linkage': 'single'}
INFO: Evaluating combination 5/28: {'n_clusters': 3, 'linkage': 'ward'}
INFO: Evaluating combination 6/28: {'n_clusters': 3, 'linkage': 'complete'}
INFO: Evaluating combination 7/28: {'n_clusters': 3, 'linkage': 'average'}
INFO: Evaluating combination 8/28: {'n_clusters': 3, 'linkage': 'single'}
INFO: Evaluating combination 9/28: {'n_clusters': 4, 'linkage': 'ward'}
INFO: Evaluating combination 10/28: {'n_clusters': 4, 'linkage': 'complete'}
INFO: Evaluating combination 11/28: {'n_clusters': 4, 'linkage': 'average'}
INFO: Evaluating combination 12/28: {'n_clusters': 4, 'linkage': 'single'}
INFO: Evaluating combination 13/28: {'n_clusters': 5, 'linkage': 'ward'}
INFO: Evaluating combination 14/28: {'n_clusters': 5, 'linkage': 'complete'}
INFO: Evaluating combination 15/28: {'n_clusters': 5, 'linkage': 'average'}
INFO: Evaluating combination 16/28: {'n_clusters': 5, 'linkage': 'single'}
INFO: Evaluating combination 17/28: {'n_clusters': 6, 'linkage': 'ward'}
INFO: Evaluating combination 18/28: {'n_clusters': 6, 'linkage': 'complete'}
INFO: Evaluating combination 19/28: {'n_clusters': 6, 'linkage': 'average'}
INFO: Evaluating combination 20/28: {'n_clusters': 6, 'linkage': 'single'}
INFO: Evaluating combination 21/28: {'n_clusters': 8, 'linkage': 'ward'}
INFO: Evaluating combination 22/28: {'n_clusters': 8, 'linkage': 'complete'}
INFO: Evaluating combination 23/28: {'n_clusters': 8, 'linkage': 'average'}
INFO: Evaluating combination 24/28: {'n_clusters': 8, 'linkage': 'single'}
INFO: Evaluating combination 25/28: {'n_clusters': 10, 'linkage': 'ward'}
INFO: Evaluating combination 26/28: {'n_clusters': 10, 'linkage': 'complete'}
INFO: Evaluating combination 27/28: {'n_clusters': 10, 'linkage': 'average'}
INFO: Evaluating combination 28/28: {'n_clusters': 10, 'linkage': 'single'}
INFO: [agglomerative] dendrogram written to results/lesion/dim_reduction_clustering/tsne/agglomerative/tuning/29-07_s1.1_volOFF_p30/dendrogram.png
INFO: [agglomerative] tuning results written to results/lesion/dim_reduction_clustering/tsne/agglomerative/tuning/29-07_s1.1_volOFF_p30 (28 combination(s) evaluated)
INFO: Starting clustering fine-tuning sweep for gmm (28 combinations)
INFO: Evaluating combination 1/28: {'n_components': 2, 'covariance_type': 'full'}
INFO: Evaluating combination 2/28: {'n_components': 2, 'covariance_type': 'tied'}
INFO: Evaluating combination 3/28: {'n_components': 2, 'covariance_type': 'diag'}
INFO: Evaluating combination 4/28: {'n_components': 2, 'covariance_type': 'spherical'}
INFO: Evaluating combination 5/28: {'n_components': 3, 'covariance_type': 'full'}
INFO: Evaluating combination 6/28: {'n_components': 3, 'covariance_type': 'tied'}
INFO: Evaluating combination 7/28: {'n_components': 3, 'covariance_type': 'diag'}
INFO: Evaluating combination 8/28: {'n_components': 3, 'covariance_type': 'spherical'}
INFO: Evaluating combination 9/28: {'n_components': 4, 'covariance_type': 'full'}
INFO: Evaluating combination 10/28: {'n_components': 4, 'covariance_type': 'tied'}
INFO: Evaluating combination 11/28: {'n_components': 4, 'covariance_type': 'diag'}
INFO: Evaluating combination 12/28: {'n_components': 4, 'covariance_type': 'spherical'}
INFO: Evaluating combination 13/28: {'n_components': 5, 'covariance_type': 'full'}
INFO: Evaluating combination 14/28: {'n_components': 5, 'covariance_type': 'tied'}
INFO: Evaluating combination 15/28: {'n_components': 5, 'covariance_type': 'diag'}
INFO: Evaluating combination 16/28: {'n_components': 5, 'covariance_type': 'spherical'}
INFO: Evaluating combination 17/28: {'n_components': 6, 'covariance_type': 'full'}
INFO: Evaluating combination 18/28: {'n_components': 6, 'covariance_type': 'tied'}
INFO: Evaluating combination 19/28: {'n_components': 6, 'covariance_type': 'diag'}
INFO: Evaluating combination 20/28: {'n_components': 6, 'covariance_type': 'spherical'}
INFO: Evaluating combination 21/28: {'n_components': 8, 'covariance_type': 'full'}
INFO: Evaluating combination 22/28: {'n_components': 8, 'covariance_type': 'tied'}
INFO: Evaluating combination 23/28: {'n_components': 8, 'covariance_type': 'diag'}
