subject_id,dataset
sub-STUNIPD0001,UNIPD/WashU
sub-STUNIPD0002,UNIPD/WashU
sub-STUNIPD0003,UNIPD/WashU
sub-STUNIPD0005,UNIPD/WashU
sub-STUNIPD0006,UNIPD/WashU
sub-STUNIPD0008,UNIPD/WashU
sub-STUNIPD0009,UNIPD/WashU
sub-STUNIPD0011,UNIPD/WashU
sub-STUNIPD0012,UNIPD/WashU
sub-STUNIPD0013,UNIPD/WashU
sub-STUNIPD0014,UNIPD/WashU
sub-STUNIPD0015,UNIPD/WashU
sub-STUNIPD0016,UNIPD/WashU
sub-STUNIPD0017,UNIPD/WashU
sub-STUNIPD0019,UNIPD/WashU
sub-STUNIPD0020,UNIPD/WashU
sub-STUNIPD0021,UNIPD/WashU
sub-STUNIPD0023,UNIPD/WashU
sub-STUNIPD0024,UNIPD/WashU
sub-STUNIPD0025,UNIPD/WashU
sub-STUNIPD0026,UNIPD/WashU
sub-STUNIPD0027,UNIPD/WashU
sub-STUNIPD0029,UNIPD/WashU
sub-STUNIPD0031,UNIPD/WashU
sub-STUNIPD0032,UNIPD/WashU
sub-STUNIPD0034,UNIPD/WashU
sub-STUNIPD0036,UNIPD/WashU
sub-STUNIPD0038,UNIPD/WashU
sub-STUNIPD0039,UNIPD/WashU
sub-STUNIPD0040,UNIPD/WashU
sub-STUNIPD0041,UNIPD/WashU
sub-STUNIPD0043,UNIPD/WashU
sub-STUNIPD0044,UNIPD/WashU
sub-STUNIPD0045,UNIPD/WashU
sub-STUNIPD0047,UNIPD/WashU
sub-STUNIPD0048,UNIPD/WashU
sub-STUNIPD0049,UNIPD/WashU
sub-STUNIPD0050,UNIPD/WashU
sub-STUNIPD0051,UNIPD/WashU
sub-STUNIPD0052,UNIPD/WashU
sub-STUNIPD0053,UNIPD/WashU
sub-STUNIPD0054,UNIPD/WashU
sub-STUNIPD0055,UNIPD/WashU
sub-STUNIPD0056,UNIPD/WashU
sub-STUNIPD0057,UNIPD/WashU
sub-STUNIPD0058,UNIPD/WashU
sub-STUNIPD0059,UNIPD/WashU
sub-STUNIPD0060,UNIPD/WashU
sub-STUNIPD0061,UNIPD/WashU
sub-STUNIPD0063,UNIPD/WashU
sub-STUNIPD0064,UNIPD/WashU
sub-STUNIPD0066,UNIPD/WashU
sub-STUNIPD0068,UNIPD/WashU
sub-STUNIPD0069,UNIPD/WashU
sub-STUNIPD0071,UNIPD/WashU
sub-STUNIPD0073,UNIPD/WashU
sub-STUNIPD0074,UNIPD/WashU
sub-STUNIPD0075,UNIPD/WashU
sub-STUNIPD0076,UNIPD/WashU
