metric,n_components,regress_out_volume,n_neighbors,min_dist,trustworthiness
dice,5,False,5,0.0,0.9473360032191925
dice,5,False,5,0.1,0.9497804434054458
dice,5,False,5,0.25,0.9531067123996397
dice,5,False,15,0.0,0.9509037116523272
dice,5,False,15,0.1,0.9547993944852167
dice,5,False,15,0.25,0.9577482514802537
dice,5,False,30,0.0,0.9534383658765593
dice,5,False,30,0.1,0.9567679307107134
dice,5,False,30,0.25,0.9578109490869373
dice,5,False,50,0.0,0.9508548105850116
dice,5,False,50,0.1,0.9538028244581984
dice,5,False,50,0.25,0.9556751681453235
dice,5,False,100,0.0,0.9482209745722114
dice,5,False,100,0.1,0.9485657347615306
dice,5,False,100,0.25,0.9488670358518405
