metric,n_components,regress_out_volume,n_neighbors,min_dist,trustworthiness
euclidean,5,True,5,0.0,0.7623690957518157
euclidean,5,True,5,0.1,0.7681731465690689
euclidean,5,True,5,0.25,0.7640941997049073
euclidean,5,True,15,0.0,0.766585624772453
euclidean,5,True,15,0.1,0.7651968497901777
euclidean,5,True,15,0.25,0.7720656102094392
euclidean,5,True,30,0.0,0.7651510912679403
euclidean,5,True,30,0.1,0.762460919386054
euclidean,5,True,30,0.25,0.7689515779791902
euclidean,5,True,50,0.0,0.7589306915515358
euclidean,5,True,50,0.1,0.7621577787571617
euclidean,5,True,50,0.25,0.7625279092494299
euclidean,5,True,100,0.0,0.7590035066204227
euclidean,5,True,100,0.1,0.749904842202081
euclidean,5,True,100,0.25,0.757004847950639
