metric,n_components,regress_out_volume,n_neighbors,min_dist,trustworthiness
dice,10,False,5,0.0,0.9478498476632111
dice,10,False,5,0.1,0.9496312108379481
dice,10,False,5,0.25,0.9535550232816602
dice,10,False,15,0.0,0.9539632475520724
dice,10,False,15,0.1,0.9555999003583268
dice,10,False,15,0.25,0.9572318010232433
dice,10,False,30,0.0,0.9544767854063273
dice,10,False,30,0.1,0.9576840209247514
dice,10,False,30,0.25,0.9595356698028245
dice,10,False,50,0.0,0.9511559583804395
dice,10,False,50,0.1,0.9547290321344396
dice,10,False,50,0.25,0.9568555387357005
dice,10,False,100,0.0,0.9482786134477935
dice,10,False,100,0.1,0.9486836951731275
dice,10,False,100,0.25,0.9498467434418534
