metric,regress_out_volume,n_neighbors,min_dist,trustworthiness
dice,False,5,0.0,0.9421235939985054
dice,False,5,0.1,0.9448114664571636
dice,False,5,0.25,0.9429313047310633
dice,False,15,0.0,0.9453585758905475
dice,False,15,0.1,0.9428653879318605
dice,False,15,0.25,0.9429147488838217
dice,False,30,0.0,0.9407698468967367
dice,False,30,0.1,0.9395339835591239
dice,False,30,0.25,0.9367317531185928
dice,False,50,0.0,0.9339179489144807
dice,False,50,0.1,0.9342874662272214
dice,False,50,0.25,0.9225597179374174
dice,False,100,0.0,0.9292232931572997
dice,False,100,0.1,0.9244489240615479
dice,False,100,0.25,0.9147993944852166
