metric,n_components,regress_out_volume,n_neighbors,min_dist,trustworthiness
euclidean,10,True,5,0.0,0.7718095311092801
euclidean,10,True,5,0.1,0.773964857148332
euclidean,10,True,5,0.25,0.7740372123325733
euclidean,10,True,15,0.0,0.7761121352060858
euclidean,10,True,15,0.1,0.776482265698354
euclidean,10,True,15,0.25,0.7763435338302642
euclidean,10,True,30,0.0,0.7725931745453849
euclidean,10,True,30,0.1,0.7758649472090751
euclidean,10,True,30,0.25,0.7771231149519996
euclidean,10,True,50,0.0,0.7733169563301205
euclidean,10,True,50,0.1,0.7749509264759423
euclidean,10,True,50,0.25,0.779596221281162
euclidean,10,True,100,0.0,0.764800659167992
euclidean,10,True,100,0.1,0.7689051296299845
euclidean,10,True,100,0.25,0.7717210033150018
