metric,regress_out_volume,n_neighbors,min_dist,trustworthiness
euclidean,True,5,0.0,0.7244089140973806
euclidean,True,5,0.1,0.7104294172878303
euclidean,True,5,0.25,0.7044317550347787
euclidean,True,15,0.0,0.7149467875141319
euclidean,True,15,0.1,0.71373399505624
euclidean,True,15,0.25,0.7133996589188878
euclidean,True,30,0.0,0.7261847586563703
euclidean,True,30,0.1,0.7024230555502329
euclidean,True,30,0.25,0.7168634334221167
euclidean,True,50,0.0,0.716798359744764
euclidean,True,50,0.1,0.7215262804913101
euclidean,True,50,0.25,0.6769879855136337
euclidean,True,100,0.0,0.7076453522908004
euclidean,True,100,0.1,0.6857677199302509
euclidean,True,100,0.25,0.6830807672408838
