metric,n_components,regress_out_volume,n_neighbors,min_dist,trustworthiness
jaccard,10,False,5,0.0,0.9466588997259854
jaccard,10,False,5,0.1,0.9490107498035909
jaccard,10,False,5,0.25,0.9523095023664897
jaccard,10,False,15,0.0,0.9529666775250542
jaccard,10,False,15,0.1,0.95497782972771
jaccard,10,False,15,0.25,0.9573875486232204
jaccard,10,False,30,0.0,0.9518529135608484
jaccard,10,False,30,0.1,0.9546897886446817
jaccard,10,False,30,0.25,0.9584806944258148
jaccard,10,False,50,0.0,0.95396715657156
jaccard,10,False,50,0.1,0.9550629850345872
jaccard,10,False,50,0.25,0.9555825013892348
jaccard,10,False,100,0.0,0.9465522831356468
jaccard,10,False,100,0.1,0.9478670933374213
jaccard,10,False,100,0.25,0.9500037940483262
