metric,regress_out_volume,n_neighbors,min_dist,trustworthiness
jaccard,False,5,0.0,0.9426644949891736
jaccard,False,5,0.1,0.943139249238316
jaccard,False,5,0.25,0.940871021518769
jaccard,False,15,0.0,0.9454683350259643
jaccard,False,15,0.1,0.9455419932167015
jaccard,False,15,0.25,0.9431283653017035
jaccard,False,30,0.0,0.9406311150286469
jaccard,False,30,0.1,0.9402176020848104
jaccard,False,30,0.25,0.9337878015597754
jaccard,False,50,0.0,0.9332447544407612
jaccard,False,50,0.1,0.9331022668480656
jaccard,False,50,0.25,0.9290966715848774
jaccard,False,100,0.0,0.930893517542683
jaccard,False,100,0.1,0.9225963554141836
jaccard,False,100,0.25,0.9130886236035795
