reduction_method,clustering_method,session,id,timestamp,params,output,notes
pacmap,kmeans,s1.1,n5_k4,24-07-26 12:46,"{""reduction_params"": {""n_components"": 2, ""n_neighbors"": 5, ""MN_ratio"": 0.5, ""FP_ratio"": 2.0, ""random_state"": 0}, ""clustering_params"": {""n_clusters"": 4, ""random_state"": 0, ""n_init"": ""auto""}}",results/lesion/dim_reduction_clustering/pacmap/kmeans/24-07_s1.1_n5_k4,"pacmap (n_neighbors=5, best trustworthiness from tuning, results/lesion/dim_reduction/pacmap/tuning/23-07_s1.1_pacmap_tune) + kmeans/agglomerative/gmm/dbscan, voxel-wise matrix. spectral escluso: su questo embedding fonde sempre uno dei due gruppi satellite disconnessi nel blob principale, indipendentemente da n_neighbors (visto in una sessione precedente)"
pacmap,agglomerative,s1.1,n5_n_clust4,24-07-26 12:46,"{""reduction_params"": {""n_components"": 2, ""n_neighbors"": 5, ""MN_ratio"": 0.5, ""FP_ratio"": 2.0, ""random_state"": 0}, ""clustering_params"": {""n_clusters"": 4, ""linkage"": ""ward""}}",results/lesion/dim_reduction_clustering/pacmap/agglomerative/24-07_s1.1_n5_n_clust4,"pacmap (n_neighbors=5, best trustworthiness from tuning, results/lesion/dim_reduction/pacmap/tuning/23-07_s1.1_pacmap_tune) + kmeans/agglomerative/gmm/dbscan, voxel-wise matrix. spectral escluso: su questo embedding fonde sempre uno dei due gruppi satellite disconnessi nel blob principale, indipendentemente da n_neighbors (visto in una sessione precedente)"
pacmap,gmm,s1.1,n5_n_comp4,24-07-26 12:46,"{""reduction_params"": {""n_components"": 2, ""n_neighbors"": 5, ""MN_ratio"": 0.5, ""FP_ratio"": 2.0, ""random_state"": 0}, ""clustering_params"": {""n_components"": 4, ""random_state"": 0}}",results/lesion/dim_reduction_clustering/pacmap/gmm/24-07_s1.1_n5_n_comp4,"pacmap (n_neighbors=5, best trustworthiness from tuning, results/lesion/dim_reduction/pacmap/tuning/23-07_s1.1_pacmap_tune) + kmeans/agglomerative/gmm/dbscan, voxel-wise matrix. spectral escluso: su questo embedding fonde sempre uno dei due gruppi satellite disconnessi nel blob principale, indipendentemente da n_neighbors (visto in una sessione precedente)"
pacmap,dbscan,s1.1,n5_e05,24-07-26 12:46,"{""reduction_params"": {""n_components"": 2, ""n_neighbors"": 5, ""MN_ratio"": 0.5, ""FP_ratio"": 2.0, ""random_state"": 0}, ""clustering_params"": {""eps"": 0.5, ""min_samples"": 5}}",results/lesion/dim_reduction_clustering/pacmap/dbscan/24-07_s1.1_n5_e05,"pacmap (n_neighbors=5, best trustworthiness from tuning, results/lesion/dim_reduction/pacmap/tuning/23-07_s1.1_pacmap_tune) + kmeans/agglomerative/gmm/dbscan, voxel-wise matrix. spectral escluso: su questo embedding fonde sempre uno dei due gruppi satellite disconnessi nel blob principale, indipendentemente da n_neighbors (visto in una sessione precedente)"
pacmap,kmeans,s1.1,n5_k4,24-07-26 12:49,"{""reduction_params"": {""n_components"": 2, ""n_neighbors"": 5, ""MN_ratio"": 0.5, ""FP_ratio"": 2.0, ""random_state"": 0}, ""clustering_params"": {""n_clusters"": 4, ""random_state"": 0, ""n_init"": ""auto""}}",results/lesion/dim_reduction_clustering/pacmap/kmeans/24-07_s1.1_n5_k4,"pacmap (n_neighbors=5, best trustworthiness from tuning, results/lesion/dim_reduction/pacmap/tuning/23-07_s1.1_pacmap_tune) + kmeans/agglomerative/gmm/dbscan, voxel-wise matrix. spectral escluso: su questo embedding fonde sempre uno dei due gruppi satellite disconnessi nel blob principale, indipendentemente da n_neighbors (visto in una sessione precedente)"
pacmap,agglomerative,s1.1,n5_n_clust4,24-07-26 12:49,"{""reduction_params"": {""n_components"": 2, ""n_neighbors"": 5, ""MN_ratio"": 0.5, ""FP_ratio"": 2.0, ""random_state"": 0}, ""clustering_params"": {""n_clusters"": 4, ""linkage"": ""ward""}}",results/lesion/dim_reduction_clustering/pacmap/agglomerative/24-07_s1.1_n5_n_clust4,"pacmap (n_neighbors=5, best trustworthiness from tuning, results/lesion/dim_reduction/pacmap/tuning/23-07_s1.1_pacmap_tune) + kmeans/agglomerative/gmm/dbscan, voxel-wise matrix. spectral escluso: su questo embedding fonde sempre uno dei due gruppi satellite disconnessi nel blob principale, indipendentemente da n_neighbors (visto in una sessione precedente)"
pacmap,gmm,s1.1,n5_n_comp4,24-07-26 12:49,"{""reduction_params"": {""n_components"": 2, ""n_neighbors"": 5, ""MN_ratio"": 0.5, ""FP_ratio"": 2.0, ""random_state"": 0}, ""clustering_params"": {""n_components"": 4, ""random_state"": 0}}",results/lesion/dim_reduction_clustering/pacmap/gmm/24-07_s1.1_n5_n_comp4,"pacmap (n_neighbors=5, best trustworthiness from tuning, results/lesion/dim_reduction/pacmap/tuning/23-07_s1.1_pacmap_tune) + kmeans/agglomerative/gmm/dbscan, voxel-wise matrix. spectral escluso: su questo embedding fonde sempre uno dei due gruppi satellite disconnessi nel blob principale, indipendentemente da n_neighbors (visto in una sessione precedente)"
pacmap,dbscan,s1.1,n5_e05,24-07-26 12:49,"{""reduction_params"": {""n_components"": 2, ""n_neighbors"": 5, ""MN_ratio"": 0.5, ""FP_ratio"": 2.0, ""random_state"": 0}, ""clustering_params"": {""eps"": 0.5, ""min_samples"": 5}}",results/lesion/dim_reduction_clustering/pacmap/dbscan/24-07_s1.1_n5_e05,"pacmap (n_neighbors=5, best trustworthiness from tuning, results/lesion/dim_reduction/pacmap/tuning/23-07_s1.1_pacmap_tune) + kmeans/agglomerative/gmm/dbscan, voxel-wise matrix. spectral escluso: su questo embedding fonde sempre uno dei due gruppi satellite disconnessi nel blob principale, indipendentemente da n_neighbors (visto in una sessione precedente)"
pacmap,kmeans,s1.1,n5_k6,26-07-26 16:46,"{""reduction_params"": {""n_components"": 2, ""n_neighbors"": 5, ""MN_ratio"": 0.5, ""FP_ratio"": 2.0, ""random_state"": 0}, ""clustering_params"": {""n_clusters"": 6, ""random_state"": 0, ""n_init"": ""auto""}}",results/lesion/dim_reduction_clustering/pacmap/kmeans/26-07_s1.1_n5_k6,"production run with tuned values from TUNING_ANALYSIS.md/RUNNING_STRATEGIES.md (session s1.1): kmeans k=6, agglomerative k=2 (macro split, dendrogram-consistent, chosen over k=5 alternative), gmm n=6. spectral excluded (fuses satellite groups on this embedding, known issue). dbscan excluded - open question, see RUNNING_STRATEGIES.md"
pacmap,agglomerative,s1.1,n5_n_clust2,26-07-26 16:46,"{""reduction_params"": {""n_components"": 2, ""n_neighbors"": 5, ""MN_ratio"": 0.5, ""FP_ratio"": 2.0, ""random_state"": 0}, ""clustering_params"": {""n_clusters"": 2, ""linkage"": ""ward""}}",results/lesion/dim_reduction_clustering/pacmap/agglomerative/26-07_s1.1_n5_n_clust2,"production run with tuned values from TUNING_ANALYSIS.md/RUNNING_STRATEGIES.md (session s1.1): kmeans k=6, agglomerative k=2 (macro split, dendrogram-consistent, chosen over k=5 alternative), gmm n=6. spectral excluded (fuses satellite groups on this embedding, known issue). dbscan excluded - open question, see RUNNING_STRATEGIES.md"
