eps,min_samples,silhouette,calinski_harabasz,davies_bouldin,noise_fraction
0.3,3,0.9702395230658237,38142.515602200256,0.03705129545616416,0.9747826086956521
0.3,5,,,,0.9956521739130435
0.3,10,,,,1.0
0.5,3,0.8155769308370655,15143.57599751975,0.19103042440087944,0.9052173913043479
0.5,5,0.9841148957428465,19152.508573120744,0.020433220944309497,0.9886956521739131
0.5,10,,,,1.0
0.7,3,0.6902320864785283,4055.6281131784954,0.3039693640010218,0.7252173913043478
0.7,5,0.9436568884470228,7567.390282254864,0.07290888678932425,0.9582608695652174
0.7,10,,,,0.9817391304347826
1.0,3,0.46879092634512454,801.3558643362059,0.47266351681612956,0.3869565217391304
1.0,5,0.5570594847713075,1710.1221879379993,0.33322871181478086,0.8243478260869566
1.0,10,,,,0.9695652173913043
1.5,3,0.1609665640812319,287.8865627894167,0.6301609918861636,0.12608695652173912
1.5,5,0.30257866649684767,500.7570744498328,0.5658934580931213,0.3373913043478261
1.5,10,0.8647124743758526,1420.3334582470443,0.13978451822863847,0.8826086956521739
2.0,3,-0.15638740447069005,112.69160614992106,0.9678250067299567,0.04521739130434783
2.0,5,-0.020863131153706863,235.28155062317063,0.7528242657477132,0.11130434782608696
2.0,10,0.3736587030671805,745.4854397216384,0.595996724214718,0.5034782608695653
