n_components,covariance_type,silhouette,calinski_harabasz,davies_bouldin,noise_fraction,bic,aic
2,full,0.4164976477622986,1057.533201815471,0.9325897457271286,0.0,18602.32566032116,18546.80297088623
2,tied,0.4160592555999756,1058.753392541734,0.9335815319131365,0.0,18606.74997267076,18566.369834899902
2,diag,0.4172731339931488,1063.6997840358652,0.9312883624488556,0.0,18608.076969872585,18562.64931488037
2,spherical,0.4140397310256958,1076.5868424002576,0.9398541650055875,0.0,18621.18730728656,18585.85468673706
3,full,0.38051825761795044,1032.4191991367386,0.9436421521982297,0.0,18537.68222437318,18451.874431610107
3,tied,0.368593692779541,996.6447567402945,0.9747810408211031,0.0,18542.4356761903,18486.91298675537
3,diag,0.37367334961891174,1013.9113371505367,0.9448620415191828,0.0,18539.838508463505,18469.173267364502
3,spherical,0.38599440455436707,1056.3714512889092,0.9100322087896449,0.0,18569.636661145134,18514.113971710205
4,full,0.3651973009109497,877.5894347610005,0.8728640028267064,0.0,18479.639978992218,18363.547082901
4,tied,0.3646601736545563,911.5829600311612,0.907089206392163,0.0,18553.613380289677,18482.948139190674
4,diag,0.36133232712745667,876.835931729735,0.9044836312952568,0.0,18534.18139547361,18438.278568267822
4,spherical,0.3724258542060852,907.6510294417855,0.8562619027319338,0.0,18534.767209309128,18459.05445098877
5,full,0.37011319398880005,956.5310115453241,0.8148462382262218,0.0,18359.89705573955,18213.51905632019
5,tied,0.4079175889492035,1113.3870956798846,0.7606873051783,0.0,18442.19801531251,18356.39022254944
5,diag,0.37216612696647644,965.1611973630708,0.7640853924575025,0.0,18395.167949704788,18274.027536392212
5,spherical,0.39611607789993286,1067.2375823911646,0.7371855069030933,0.0,18448.244181575905,18352.341354370117
6,full,0.3776041269302368,1003.8739701320529,0.9070856022468988,0.0,18395.22124254853,18218.558139801025
6,tied,0.38205450773239136,1053.3940698182957,0.8525723922370455,0.0,18421.466492040672,18320.516147613525
6,diag,0.36596301198005676,951.5131225401553,0.8316043787345024,0.0,18395.588889235645,18249.210889816284
6,spherical,0.39234501123428345,1114.0034434214892,0.867688746695713,0.0,18471.483631717438,18355.39073562622
8,full,0.37632837891578674,1026.3212684651132,0.8630237666388563,0.0,18409.79952682628,18172.566217422485
8,tied,0.3748425543308258,1067.2664880277132,0.8497964909383409,0.0,18427.987377992107,18296.751930236816
8,diag,0.3637351393699646,974.6077479734462,0.8556966260039465,0.0,18393.320454881836,18196.4672832489
8,spherical,0.37362948060035706,1030.2744772726403,0.7835179722777298,0.0,18401.01430888649,18244.541275024414
10,full,0.3512834906578064,1022.1669442076279,0.8810951627187912,0.0,18425.59298291799,18127.78946685791
10,tied,0.3513954281806946,1091.1323721209476,0.8795512374797934,0.0,18431.270730374206,18269.75017929077
10,diag,0.36156365275382996,1076.9341827014805,0.8392369261553132,0.0,18417.59168002815,18170.26333618164
10,spherical,0.320503830909729,978.4352759962011,0.7951753869103316,0.0,18341.01761751001,18144.164445877075
