n_clusters,silhouette,calinski_harabasz,davies_bouldin,noise_fraction
2,0.6019574999809265,2704.200555871176,0.5719085005581875,0.0
3,0.4971722662448883,2314.21681175835,0.8062640861078573,0.0
4,0.4315454065799713,2192.0044461390585,0.8528757294474227,0.0
5,0.44173526763916016,2280.794990537626,0.8175124539504086,0.0
6,0.43585270643234253,2301.2944744425654,0.7921999291631011,0.0
8,0.4147939682006836,2362.653954373748,0.8510352945832016,0.0
10,0.401673287153244,2195.619237293773,0.821128026804445,0.0
11,0.37977853417396545,2173.97089446385,0.8615562699590328,0.0
12,0.3647488057613373,2093.235447784002,0.8594170545569786,0.0
13,0.3618369698524475,2040.3060326257046,0.8268000475308329,0.0
14,0.3633694052696228,2209.8473309385085,0.8203059840221973,0.0
15,0.37813469767570496,2328.8189319319026,0.7899546875680181,0.0
