reduction_method,clustering_method,session,id,timestamp,params,output,notes
pca,kmeans,s1.1,c150,24-07-26 12:46,"{""reduction_params"": {""n_components"": 150, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""random_state"": 0, ""n_init"": ""auto""}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/pca/kmeans/tuning/24-07_s1.1_c150,"pca (n_components=150, tuning in results/lesion/dim_reduction/pca/tuning/23-07_s1.1) + all 5 clustering methods, voxel-wise matrix"
pca,agglomerative,s1.1,c150,24-07-26 12:46,"{""reduction_params"": {""n_components"": 150, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""linkage"": ""ward""}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/pca/agglomerative/tuning/24-07_s1.1_c150,"pca (n_components=150, tuning in results/lesion/dim_reduction/pca/tuning/23-07_s1.1) + all 5 clustering methods, voxel-wise matrix"
pca,gmm,s1.1,c150,24-07-26 12:46,"{""reduction_params"": {""n_components"": 150, ""random_state"": 0}, ""clustering_base_params"": {""n_components"": 4, ""random_state"": 0}, ""clustering_tuning_grid"": {""n_components"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/pca/gmm/tuning/24-07_s1.1_c150,"pca (n_components=150, tuning in results/lesion/dim_reduction/pca/tuning/23-07_s1.1) + all 5 clustering methods, voxel-wise matrix"
pca,dbscan,s1.1,c150,24-07-26 12:46,"{""reduction_params"": {""n_components"": 150, ""random_state"": 0}, ""clustering_base_params"": {""eps"": 0.5, ""min_samples"": 5}, ""clustering_tuning_grid"": {""eps"": [0.3, 0.5, 0.7, 1.0, 1.5, 2.0]}}",results/lesion/dim_reduction_clustering/pca/dbscan/tuning/24-07_s1.1_c150,"pca (n_components=150, tuning in results/lesion/dim_reduction/pca/tuning/23-07_s1.1) + all 5 clustering methods, voxel-wise matrix"
pca,spectral,s1.1,c150,24-07-26 12:46,"{""reduction_params"": {""n_components"": 150, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""affinity"": ""nearest_neighbors"", ""n_neighbors"": 50, ""random_state"": 0}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/pca/spectral/tuning/24-07_s1.1_c150,"pca (n_components=150, tuning in results/lesion/dim_reduction/pca/tuning/23-07_s1.1) + all 5 clustering methods, voxel-wise matrix"
pca,kmeans,s1.1,c150,24-07-26 16:54,"{""reduction_params"": {""n_components"": 150, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""random_state"": 0, ""n_init"": ""auto""}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/pca/kmeans/tuning/24-07_s1.1_c150,re-run tuning to regenerate plots with corrected titles (compose_cluster_plot_title fix)
pca,agglomerative,s1.1,c150,24-07-26 16:54,"{""reduction_params"": {""n_components"": 150, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""linkage"": ""ward""}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/pca/agglomerative/tuning/24-07_s1.1_c150,re-run tuning to regenerate plots with corrected titles (compose_cluster_plot_title fix)
pca,gmm,s1.1,c150,24-07-26 16:54,"{""reduction_params"": {""n_components"": 150, ""random_state"": 0}, ""clustering_base_params"": {""n_components"": 4, ""random_state"": 0}, ""clustering_tuning_grid"": {""n_components"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/pca/gmm/tuning/24-07_s1.1_c150,re-run tuning to regenerate plots with corrected titles (compose_cluster_plot_title fix)
pca,dbscan,s1.1,c150,24-07-26 16:54,"{""reduction_params"": {""n_components"": 150, ""random_state"": 0}, ""clustering_base_params"": {""eps"": 0.5, ""min_samples"": 5}, ""clustering_tuning_grid"": {""eps"": [0.3, 0.5, 0.7, 1.0, 1.5, 2.0]}}",results/lesion/dim_reduction_clustering/pca/dbscan/tuning/24-07_s1.1_c150,re-run tuning to regenerate plots with corrected titles (compose_cluster_plot_title fix)
pca,kmeans,s1.1,c150,24-07-26 17:39,"{""reduction_params"": {""n_components"": 150, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""random_state"": 0, ""n_init"": ""auto""}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/pca/kmeans/tuning/24-07_s1.1_c150,re-run spectral tuning to regenerate plot with corrected title (compose_cluster_plot_title fix)
pca,agglomerative,s1.1,c150,24-07-26 17:39,"{""reduction_params"": {""n_components"": 150, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""linkage"": ""ward""}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/pca/agglomerative/tuning/24-07_s1.1_c150,re-run spectral tuning to regenerate plot with corrected title (compose_cluster_plot_title fix)
pca,gmm,s1.1,c150,24-07-26 17:39,"{""reduction_params"": {""n_components"": 150, ""random_state"": 0}, ""clustering_base_params"": {""n_components"": 4, ""random_state"": 0}, ""clustering_tuning_grid"": {""n_components"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/pca/gmm/tuning/24-07_s1.1_c150,re-run spectral tuning to regenerate plot with corrected title (compose_cluster_plot_title fix)
pca,dbscan,s1.1,c150,24-07-26 17:39,"{""reduction_params"": {""n_components"": 150, ""random_state"": 0}, ""clustering_base_params"": {""eps"": 0.5, ""min_samples"": 5}, ""clustering_tuning_grid"": {""eps"": [0.3, 0.5, 0.7, 1.0, 1.5, 2.0]}}",results/lesion/dim_reduction_clustering/pca/dbscan/tuning/24-07_s1.1_c150,re-run spectral tuning to regenerate plot with corrected title (compose_cluster_plot_title fix)
pca,spectral,s1.1,c150,24-07-26 17:39,"{""reduction_params"": {""n_components"": 150, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""affinity"": ""nearest_neighbors"", ""n_neighbors"": 50, ""random_state"": 0}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/pca/spectral/tuning/24-07_s1.1_c150,re-run spectral tuning to regenerate plot with corrected title (compose_cluster_plot_title fix)
pca,kmeans,s1.1,c150,25-07-26 17:52,"{""reduction_params"": {""n_components"": 150, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""random_state"": 0, ""n_init"": ""auto""}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/pca/kmeans/tuning/25-07_s1.1_c150,re-run tuning to regenerate plots with the new square-grid layout (plot_clustering_tuning_metrics)
pca,agglomerative,s1.1,c150,25-07-26 17:52,"{""reduction_params"": {""n_components"": 150, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""linkage"": ""ward""}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/pca/agglomerative/tuning/25-07_s1.1_c150,re-run tuning to regenerate plots with the new square-grid layout (plot_clustering_tuning_metrics)
pca,gmm,s1.1,c150,25-07-26 17:52,"{""reduction_params"": {""n_components"": 150, ""random_state"": 0}, ""clustering_base_params"": {""n_components"": 4, ""random_state"": 0}, ""clustering_tuning_grid"": {""n_components"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/pca/gmm/tuning/25-07_s1.1_c150,re-run tuning to regenerate plots with the new square-grid layout (plot_clustering_tuning_metrics)
pca,dbscan,s1.1,c150,25-07-26 17:52,"{""reduction_params"": {""n_components"": 150, ""random_state"": 0}, ""clustering_base_params"": {""eps"": 0.5, ""min_samples"": 5}, ""clustering_tuning_grid"": {""eps"": [0.3, 0.5, 0.7, 1.0, 1.5, 2.0]}}",results/lesion/dim_reduction_clustering/pca/dbscan/tuning/25-07_s1.1_c150,re-run tuning to regenerate plots with the new square-grid layout (plot_clustering_tuning_metrics)
pca,spectral,s1.1,c150,25-07-26 17:52,"{""reduction_params"": {""n_components"": 150, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""affinity"": ""nearest_neighbors"", ""n_neighbors"": 50, ""random_state"": 0}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/pca/spectral/tuning/25-07_s1.1_c150,re-run tuning to regenerate plots with the new square-grid layout (plot_clustering_tuning_metrics)
pca,kmeans,s1.1,c2,26-07-26 11:01,"{""reduction_params"": {""n_components"": 2, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""random_state"": 0, ""n_init"": ""auto""}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/pca/kmeans/tuning/26-07_s1.1_c2,test: pca a 2 componenti (invece di 150) per un confronto alla pari con umap/tsne/pacmap - verifica se il fallimento del clustering su pca era dovuto a curse of dimensionality (150D) o a pca come metodo
pca,agglomerative,s1.1,c2,26-07-26 11:01,"{""reduction_params"": {""n_components"": 2, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""linkage"": ""ward""}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/pca/agglomerative/tuning/26-07_s1.1_c2,test: pca a 2 componenti (invece di 150) per un confronto alla pari con umap/tsne/pacmap - verifica se il fallimento del clustering su pca era dovuto a curse of dimensionality (150D) o a pca come metodo
pca,gmm,s1.1,c2,26-07-26 11:01,"{""reduction_params"": {""n_components"": 2, ""random_state"": 0}, ""clustering_base_params"": {""n_components"": 4, ""random_state"": 0}, ""clustering_tuning_grid"": {""n_components"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/pca/gmm/tuning/26-07_s1.1_c2,test: pca a 2 componenti (invece di 150) per un confronto alla pari con umap/tsne/pacmap - verifica se il fallimento del clustering su pca era dovuto a curse of dimensionality (150D) o a pca come metodo
pca,dbscan,s1.1,c2,26-07-26 11:01,"{""reduction_params"": {""n_components"": 2, ""random_state"": 0}, ""clustering_base_params"": {""eps"": 0.5, ""min_samples"": 5}, ""clustering_tuning_grid"": {""eps"": [0.3, 0.5, 0.7, 1.0, 1.5, 2.0]}}",results/lesion/dim_reduction_clustering/pca/dbscan/tuning/26-07_s1.1_c2,test: pca a 2 componenti (invece di 150) per un confronto alla pari con umap/tsne/pacmap - verifica se il fallimento del clustering su pca era dovuto a curse of dimensionality (150D) o a pca come metodo
pca,spectral,s1.1,c2,26-07-26 11:01,"{""reduction_params"": {""n_components"": 2, ""random_state"": 0}, ""clustering_base_params"": {""n_clusters"": 4, ""affinity"": ""nearest_neighbors"", ""n_neighbors"": 50, ""random_state"": 0}, ""clustering_tuning_grid"": {""n_clusters"": [2, 3, 4, 5, 6, 8, 10]}}",results/lesion/dim_reduction_clustering/pca/spectral/tuning/26-07_s1.1_c2,test: pca a 2 componenti (invece di 150) per un confronto alla pari con umap/tsne/pacmap - verifica se il fallimento del clustering su pca era dovuto a curse of dimensionality (150D) o a pca come metodo
