n_clusters,linkage,silhouette,calinski_harabasz,davies_bouldin,noise_fraction
2,ward,0.7562562823295593,7348.363401191308,0.343918355332618,0.0
2,complete,0.7562562823295593,7348.363401191308,0.343918355332618,0.0
2,average,0.7562562823295593,7348.363401191308,0.343918355332618,0.0
2,single,0.7562562823295593,7348.363401191308,0.343918355332618,0.0
3,ward,0.6769854426383972,6479.058689353382,0.3341654702246184,0.0
3,complete,0.6769854426383972,6479.058689353382,0.3341654702246184,0.0
3,average,0.6769854426383972,6479.058689353382,0.3341654702246184,0.0
3,single,0.6769854426383972,6479.058689353382,0.3341654702246184,0.0
4,ward,0.5598416328430176,6541.593954491587,0.4860330551825518,0.0
4,complete,0.5694907307624817,7051.643811928248,0.5794367723822872,0.0
4,average,0.5672975778579712,7020.744033737904,0.5804597372184701,0.0
4,single,0.4887128472328186,4455.702508898759,0.6141446702585,0.0
5,ward,0.5763552188873291,7083.004511311647,0.5540845092755406,0.0
5,complete,0.6086732149124146,7422.540854444636,0.5218398714348625,0.0
5,average,0.5229031443595886,7490.962370365127,0.6355636912690095,0.0
5,single,0.26901260018348694,3545.5509412136976,0.6516331779488567,0.0
6,ward,0.5321995615959167,9285.67049326436,0.602260289710626,0.0
6,complete,0.5645123720169067,10014.435849455835,0.5753897581767274,0.0
6,average,0.5466921925544739,9451.26078811009,0.5885926156406532,0.0
6,single,0.12107419222593307,2838.582999856807,0.7153709542582877,0.0
8,ward,0.5179927349090576,10910.382386817048,0.6997191043223603,0.0
8,complete,0.5366888642311096,11734.166252930461,0.6366825019128499,0.0
8,average,0.504957914352417,8968.38882985261,0.5952406043311156,0.0
8,single,-0.0044221896678209305,2306.569011795927,0.6972285855329452,0.0
10,ward,0.5134637355804443,11340.623528155951,0.6696593360368392,0.0
10,complete,0.4860253930091858,11318.887683371639,0.8119050041250698,0.0
10,average,0.49220341444015503,10448.163120960926,0.6871665134239648,0.0
10,single,0.11501549929380417,2274.033484736251,0.6037329931527033,0.0
