eps,min_samples,silhouette,calinski_harabasz,davies_bouldin,noise_fraction
0.3,3,0.2550894320011139,198.83266378971044,0.7109876689884292,0.0008695652173913044
0.3,5,0.09327518194913864,109.30549485487438,0.7270559846592914,0.0017391304347826088
0.3,10,0.2316308468580246,622.2923366381435,0.7764850866071352,0.0408695652173913
0.5,3,,,,0.0
0.5,5,,,,0.0
0.5,10,,,,0.0
0.7,3,,,,0.0
0.7,5,,,,0.0
0.7,10,,,,0.0
1.0,3,,,,0.0
1.0,5,,,,0.0
1.0,10,,,,0.0
1.5,3,,,,0.0
1.5,5,,,,0.0
1.5,10,,,,0.0
2.0,3,,,,0.0
2.0,5,,,,0.0
2.0,10,,,,0.0
