n_components,covariance_type,silhouette,calinski_harabasz,davies_bouldin,noise_fraction,bic,aic
2,full,0.4209144115447998,1169.6704512443337,0.8449957077428425,0.0,8373.670107457086,8318.147418022156
2,tied,0.4293082058429718,1177.4894855513683,0.827528693940902,0.0,8393.137106269089,8352.75696849823
2,diag,0.42410847544670105,1164.478940620994,0.8262904523786008,0.0,8399.1844098674,8353.756754875183
2,spherical,0.43750303983688354,1180.1962291101088,0.8043941596705676,0.0,8456.267954755129,8420.935334205627
3,full,0.45183396339416504,1407.5517132966922,0.822535880221222,0.0,8134.045768837293,8048.237976074219
3,tied,0.4500301480293274,1397.4184829374856,0.8239670881679109,0.0,8180.491787526055,8124.9690980911255
3,diag,0.44906291365623474,1397.3157203057615,0.8245176568865483,0.0,8216.572288370731,8145.9070472717285
3,spherical,0.45167115330696106,1407.1054609881517,0.8208538020305144,0.0,8253.636247250482,8198.113557815552
4,full,0.41560181975364685,1151.9438713103366,0.8123383638634222,0.0,7848.0469423406075,7731.95404624939
4,tied,0.44280868768692017,1303.593906853572,0.7919334417205687,0.0,8087.128523684146,8016.463282585144
4,diag,0.4626065790653229,1441.3468161062392,0.7754268288126247,0.0,8007.760492267739,7911.857665061951
4,spherical,0.46387895941734314,1437.1921699284928,0.7697436681902712,0.0,8120.806180256394,8045.093421936035
5,full,0.4235777258872986,1211.189553351722,0.8061995632085287,0.0,7767.0535231772965,7620.675523757935
5,tied,0.44071120023727417,1315.7662532334923,0.8032358498703218,0.0,8006.5887223285035,7920.78092956543
5,diag,0.4118761718273163,1158.6049070628271,0.9063830551071991,0.0,7897.868946103713,7776.728532791138
5,spherical,0.43624183535575867,1314.990915646905,0.7718354882171503,0.0,8053.675452175271,7957.772624969482
6,full,0.41641712188720703,1191.7951873941777,0.7605975803629094,0.0,7646.72385180146,7470.060749053955
6,tied,0.4581746757030487,1475.1552319975674,0.775515656613401,0.0,7817.956207616843,7717.005863189697
6,diag,0.459871768951416,1479.6066776572295,0.782479477598922,0.0,7810.288634413869,7663.910634994507
6,spherical,0.4472009241580963,1463.762033482841,0.7548698088307287,0.0,7929.929013835664,7813.836117744446
8,full,0.3842279314994812,1050.987734835433,0.7018152226447332,0.0,7505.848430291549,7268.615120887756
8,tied,0.45470961928367615,1537.588942855813,0.6829811178706362,0.0,7760.181014886332,7628.9455671310425
8,diag,0.4225808382034302,1253.1177633893838,0.7383523423050329,0.0,7653.62154416864,7456.768372535706
8,spherical,0.4448297321796417,1468.0160178416581,0.6620836502387876,0.0,7731.202034907304,7574.729001045227
10,full,0.35031065344810486,1190.0201578930596,0.8361973584671574,0.0,7521.375930458274,7223.572414398193
10,tied,0.38916274905204773,1436.8449827645425,0.8352528153713734,0.0,7759.051692364561,7597.531141281128
10,diag,0.37140363454818726,1286.7719078686944,0.8296903910192637,0.0,7638.558710553356,7391.230366706848
10,spherical,0.3582572042942047,1205.122474395192,0.9354956029594268,0.0,7666.613902376343,7469.760730743408
