n_components,covariance_type,silhouette,calinski_harabasz,davies_bouldin,noise_fraction,bic,aic
2,full,0.40252344890372044,1218.6143902511972,0.9036700677699125,0.0,8098.729822617377,8043.207133182447
2,tied,0.43091703656089697,1203.2442959036875,0.8021939548886527,0.0,8188.164980765738,8147.784842994879
2,diag,0.4115839994235629,1268.4249961864068,0.893668842619717,0.0,8174.698317178847,8129.270662186631
2,spherical,0.42997151138606754,1275.8373491600364,0.8225856334582794,0.0,8325.507278257192,8290.17465770769
3,full,0.47088144629659795,1624.8909883436163,0.743396642087545,0.0,7881.970782213489,7796.162989450415
3,tied,0.47130208656917405,1624.0946162938528,0.7432539885084569,0.0,7930.055039155359,7874.532349720429
3,diag,0.4735737796609184,1657.4607364903866,0.7465165367597647,0.0,7932.604503099931,7861.939262000929
3,spherical,0.4748379244807877,1665.089587139723,0.7464060749516367,0.0,7925.83444362914,7870.31175419421
4,full,0.44960459328412644,1469.466859271116,0.7851459500435825,0.0,7688.586198209695,7572.493302118477
4,tied,0.4470950781979907,1467.7719531929522,0.7846295934771672,0.0,7776.005143159165,7705.339902060163
4,diag,0.45579295659900826,1555.6628171375337,0.7831612610026317,0.0,7780.668596485614,7684.765769279826
4,spherical,0.45928640559511735,1580.7390050380095,0.7674672533791338,0.0,7873.935282920291,7798.222524599932
5,full,0.42825063678771935,1230.9512965606557,0.7459080262782335,0.0,7696.1100996975,7549.732100278138
5,tied,0.4183427902425264,1242.6880784946939,0.7908333092932484,0.0,7782.1068373946655,7696.299044631592
5,diag,0.43805678041793744,1465.8334875057003,0.7614890326212777,0.0,7717.862997122088,7596.722583809513
5,spherical,0.4359002055288913,1273.53063166837,0.7411712122337872,0.0,7794.453214528028,7698.55038732224
6,full,0.4219267004295774,1254.2538993679545,0.7570047867208293,0.0,7668.397128162276,7491.734025414771
6,tied,0.42925050378497437,1310.7320347449067,0.7488152896339203,0.0,7718.06796378729,7617.117619360144
6,diag,0.43715749628003375,1343.105016684948,0.739210842497264,0.0,7717.713777696647,7571.3357782772855
6,spherical,0.4454163232674991,1325.0316398523412,0.6855619797366991,0.0,7676.756965191259,7560.664069100041
8,full,0.3425906256905127,1090.0373981884757,1.0390506508699908,0.0,7615.796046943856,7378.562737540063
8,tied,0.3733568854897272,1315.77835429528,0.8100425542860228,0.0,7642.851944156074,7511.616496400784
8,diag,0.3802948742776856,1311.6245806016718,0.8166332744315246,0.0,7652.58895582046,7455.7357841875255
8,spherical,0.3772624106073258,1232.011615984967,0.7392485324305823,0.0,7645.004260927236,7488.531227065159
10,full,0.3857666569860612,1397.7015851099993,0.8629062813830466,0.0,7627.80409500644,7330.000578946359
10,tied,0.3609650445259066,1396.612936943676,0.793944566122832,0.0,7607.452390401371,7445.931839317938
10,diag,0.39996178085226775,1544.6657556289508,0.8124990050782415,0.0,7666.757946768107,7419.429602921599
10,spherical,0.40141971220428124,1573.4034310689296,0.7977363363391411,0.0,7659.962018444734,7463.1088468118
