n_clusters,silhouette,calinski_harabasz,davies_bouldin,noise_fraction
2,0.4176600036154674,1298.5143463928173,0.8639248770516729,0.0
3,0.42986737386160245,1244.4908022393204,0.7387622282622203,0.0
4,0.4565623442394154,1530.4635379457222,0.7754251232455317,0.0
5,0.4298903636464823,1463.4242876436242,0.7661569635834267,0.0
6,0.40170583642118335,1352.4317534268846,0.8725185294412211,0.0
8,0.3937522200999961,1414.4660315535389,0.7415852203997781,0.0
10,0.39899208987490103,1580.2809911438112,0.7554657888184468,0.0
11,0.4050905422499221,1641.7019678582876,0.7278968929919387,0.0
12,0.3971718792827001,1616.8972569358957,0.7539428662599756,0.0
13,0.4051185538831234,1653.6695158959992,0.7343449877879019,0.0
14,0.39691652264129457,1642.5803570458386,0.7258901902638303,0.0
15,0.39367552593433,1683.926315220591,0.7603826362937589,0.0
