tract,streamline_ratio
AF_L,0.0
AF_R,1.0
C_FPH_L,0.0
C_FPH_R,0.15492957746478872
C_FP_L,0.0
C_FP_R,0.06746118521758146
C_PHP_L,0.0
C_PHP_R,0.0
C_PH_L,0.0
C_PH_R,0.0
C_PO_L,0.0
C_PO_R,0.0
EMC_L,0.0
EMC_R,1.0
FAT_L,0.0
FAT_R,1.0
IFOF_L,0.0
IFOF_R,0.8548401540252529
ILF_L,0.0
ILF_R,0.0
MdLF_L,0.0
MdLF_R,0.999691738594328
PAT_L,0.0
PAT_R,0.0
SLF1_L,0.0
SLF1_R,0.17630676949443017
SLF2_L,0.0
SLF2_R,1.0
SLF3_L,0.0
SLF3_R,0.4897228094902514
UF_L,0.0
UF_R,0.004774535809018567
VOF_L,0.0
VOF_R,0.0
CB_L,0.0
CB_R,0.0
ICP_L,0.0
ICP_R,0.0
MCP,0.0
SCP,0.0
V,0.0
AC,0.0
CC,0.35037267080745343
CNIII_L,0.0
CNIII_R,0.0
CNII_L,0.0
CNII_R,0.0
CNVIII_L,0.0
CNVIII_R,0.0
CNVII_L,0.0
CNVII_R,0.0
CNV_L,0.0
CNV_R,0.0
AR_L,0.0
AR_R,0.3577981651376147
CBT_L,0.0
CBT_R,1.0
CPT_F_L,0.0
CPT_F_R,0.9973776223776224
CPT_O_L,0.0
CPT_O_R,0.0
CPT_P_L,0.0
CPT_P_R,0.9829059829059829
CST_L,0.0
CST_R,1.0
CS_A_L,0.0
CS_A_R,0.8188010899182562
CS_P_L,0.0
CS_P_R,0.10303030303030303
CS_S_L,0.0
CS_S_R,0.9823584029712163
DRTT_L,0.0
DRTT_R,1.0
F_L,0.0
F_R,0.0
ML_L,0.0
ML_R,1.0
OR_L,0.0
OR_R,0.0
RST_L,0.0
RST_R,0.9846106494305941
TR_A_L,0.0
TR_A_R,0.9468599033816425
TR_P_L,0.0
TR_P_R,0.1276595744680851
TR_S_L,0.0
TR_S_R,0.9594477998274374
